text,label
Urgent! Your account has been compromised. Click here to verify your identity immediately.,1
"Dear customer, your PayPal account is suspended. Login now to restore access: http://paypa1.fake.com",1
You have won a prize! Claim your $1000 gift card now. Limited time offer!,1
ALERT: Unusual sign-in activity detected. Verify your account or it will be deleted.,1
Your bank account needs verification. Provide your SSN and password to continue.,1
Congratulations! You've been selected for a free iPhone. Click to claim before it expires!,1
Security warning: Your password expires today. Update it now via this link.,1
IRS Notice: You owe back taxes. Pay immediately to avoid legal action.,1
Your Netflix subscription failed. Update payment info to continue watching.,1
"Dear user, confirm your email address or your account will be permanently closed.",1
"Hi John, just following up on the project timeline we discussed in Monday's meeting.",0
Your order #12345 has shipped and will arrive by Friday. Track it here.,0
Meeting reminder: Team standup at 10 AM tomorrow in Conference Room B.,0
Thank you for your purchase! Your receipt is attached for your records.,0
Newsletter: Check out this month's top articles on technology and innovation.,0
Your subscription renewal is coming up on March 15th. No action needed.,0
"Hi, I wanted to share the report we finished last week. Let me know your thoughts.",0
Reminder: Your dentist appointment is scheduled for next Tuesday at 3 PM.,0
Welcome to our platform! Here are some tips to get started.,0
Your monthly statement is now available. Log in to view your account summary.,0
